[ -1:000]                : Rank 7 is running on comet-11-60.sdsc.edu
[ -1:000]                : Rank 3 is running on comet-11-60.sdsc.edu
[ -1:000]                : Rank 5 is running on comet-11-60.sdsc.edu
[ -1:000]                : Rank 1 is running on comet-11-60.sdsc.edu
[  7:001] init_pprintf   : My dest: 0	My source: 6	My_num_part: 120
[  3:001] init_pprintf   : My dest: 4	My source: 2	My_num_part: 120
[  5:001] init_pprintf   : My dest: 6	My source: 4	My_num_part: 120
[  1:001] init_pprintf   : My dest: 2	My source: 0	My_num_part: 120
[ -1:000]                : Rank 2 is running on comet-11-60.sdsc.edu
[ -1:000]                : Rank 6 is running on comet-11-60.sdsc.edu
[ -1:000]                : Rank 4 is running on comet-11-60.sdsc.edu
[ -1:000]                : Rank 0 is running on comet-11-60.sdsc.edu
[  6:001] init_pprintf   : My dest: 7	My source: 5	My_num_part: 120
[  2:001] init_pprintf   : My dest: 3	My source: 1	My_num_part: 120
[  4:001] init_pprintf   : My dest: 5	My source: 3	My_num_part: 120
[  0:001] init_pprintf   : My dest: 1	My source: 7	My_num_part: 120
Initalizing particles linear on 840 to 960
Initalizing particles linear on 360 to 480
Initalizing particles linear on 600 to 720
Initalizing particles linear on 120 to 240
Initalizing particles linear on 720 to 840
Initalizing particles linear on 0 to 120
Initalizing particles linear on 240 to 360
Initalizing particles linear on 480 to 600
Iteration 0:	0.0015850067 seconds	0.0000009537 seconds
Iteration 0:	0.0015850067 seconds	0.0000009537 seconds
Iteration 0:	0.0016081333 seconds	0.0000000000 seconds
Iteration 0:	0.0015990734 seconds	0.0000000000 seconds
Iteration 0:	0.0015900135 seconds	0.0000009537 seconds
Iteration 0:	0.0015890598 seconds	0.0000000000 seconds
Iteration 0:	0.0016109943 seconds	0.0000000000 seconds
Iteration 0:	0.0016019344 seconds	0.0000000000 seconds
Iteration 1:	0.0014140606 seconds	0.0000009537 seconds
Iteration 1:	0.0014240742 seconds	0.0000000000 seconds
Iteration 1:	0.0014350414 seconds	0.0000000000 seconds
Iteration 1:	0.0014169216 seconds	0.0000000000 seconds
Iteration 1:	0.0014169216 seconds	0.0000000000 seconds
Iteration 1:	0.0014340878 seconds	0.0000000000 seconds
Iteration 1:	0.0014379025 seconds	0.0000000000 seconds
Iteration 1:	0.0014348030 seconds	0.0000000000 seconds
Iteration 2:	0.0015690327 seconds	0.0000009537 seconds
Iteration 2:	0.0015718937 seconds	0.0000000000 seconds
Iteration 2:	0.0015709400 seconds	0.0000009537 seconds
Iteration 2:	0.0015749931 seconds	0.0000000000 seconds
