Initalizing particles linear on 0 to 16320
Iteration 0:	3.13049197196960449218750000000000000000000000000000000000000000000000000000000000 seconds	0.00000095367431640625000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 1:	1.14202785491943359375000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 2:	1.14204406738281250000000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 3:	1.14165186882019042968750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 4:	1.14209699630737304687500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 5:	1.14183807373046875000000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 6:	1.14162802696228027343750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 7:	1.14359688758850097656250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 8:	1.14163112640380859375000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 9:	1.14189505577087402343750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 10:	1.14158105850219726562500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 11:	1.14152717590332031250000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 12:	1.14154481887817382812500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 13:	1.14154100418090820312500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 14:	1.14148306846618652343750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 15:	1.14154577255249023437500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 16:	1.14142704010009765625000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 17:	1.14150404930114746093750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 18:	1.14164614677429199218750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 19:	1.14142990112304687500000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 20:	1.14327692985534667968750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 21:	1.14153599739074707031250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 22:	1.14155602455139160156250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 23:	1.14161801338195800781250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 24:	1.14144802093505859375000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 25:	1.14143896102905273437500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 26:	1.14185309410095214843750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 27:	1.14144086837768554687500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 28:	1.14155411720275878906250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 29:	1.14153385162353515625000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 30:	1.14157104492187500000000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 31:	1.14168095588684082031250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 32:	1.14324903488159179687500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 33:	1.14147877693176269531250000000000000000000000000000000000000000000000000000000000 seconds	0.00000119209289550781250000000000000000000000000000000000000000000000000000000000 seconds
Iteration 34:	1.14153385162353515625000000000000000000000000000000000000000000000000000000000000 seconds	0.00000119209289550781250000000000000000000000000000000000000000000000000000000000 seconds
Total computation time was: 41.951079		Average frame time was: 1.198597		Average Particle interations per second were: 222211768.158276
