[ -1:000]                : Rank 7 is running on comet-16-51.sdsc.edu
[ -1:000]                : Rank 5 is running on comet-16-51.sdsc.edu
[ -1:000]                : Rank 3 is running on comet-16-51.sdsc.edu
[  7:001] init_pprintf   : My dest: 0	My source: 6	My_num_part: 60
[  5:001] init_pprintf   : My dest: 6	My source: 4	My_num_part: 60
[  3:001] init_pprintf   : My dest: 4	My source: 2	My_num_part: 60
[ -1:000]                : Rank 1 is running on comet-16-51.sdsc.edu
[  1:001] init_pprintf   : My dest: 2	My source: 0	My_num_part: 60
[ -1:000]                : Rank 4 is running on comet-16-51.sdsc.edu
[ -1:000]                : Rank 0 is running on comet-16-51.sdsc.edu
[ -1:000]                : Rank 6 is running on comet-16-51.sdsc.edu
[ -1:000]                : Rank 2 is running on comet-16-51.sdsc.edu
[  4:001] init_pprintf   : My dest: 5	My source: 3	My_num_part: 60
[  0:001] init_pprintf   : My dest: 1	My source: 7	My_num_part: 60
[  6:001] init_pprintf   : My dest: 7	My source: 5	My_num_part: 60
[  2:001] init_pprintf   : My dest: 3	My source: 1	My_num_part: 60
Initalizing particles linear on 180 to 240
Initalizing particles linear on 300 to 360
Initalizing particles linear on 420 to 480
Initalizing particles linear on 60 to 120
Initalizing particles linear on 0 to 60
Initalizing particles linear on 360 to 420
Initalizing particles linear on 120 to 180
Initalizing particles linear on 240 to 300
Iteration 0:	0.0004858971 seconds	0.0000000000 seconds
Iteration 0:	0.0004959106 seconds	0.0000000000 seconds
Iteration 0:	0.0005440712 seconds	0.0000009537 seconds
Iteration 0:	0.0004467964 seconds	0.0000000000 seconds
Iteration 0:	0.0004429817 seconds	0.0000000000 seconds
Iteration 0:	0.0004861355 seconds	0.0000000000 seconds
Iteration 0:	0.0004420280 seconds	0.0000009537 seconds
Iteration 0:	0.0004458427 seconds	0.0000000000 seconds
Iteration 1:	0.0003738403 seconds	0.0000000000 seconds
Iteration 1:	0.0003879070 seconds	0.0000000000 seconds
Iteration 1:	0.0003831387 seconds	0.0000000000 seconds
Iteration 1:	0.0003869534 seconds	0.0000000000 seconds
Iteration 1:	0.0003950596 seconds	0.0000000000 seconds
Iteration 1:	0.0003740788 seconds	0.0000000000 seconds
Iteration 1:	0.0003969669 seconds	0.0000000000 seconds
Iteration 1:	0.0003888607 seconds	0.0000000000 seconds
Iteration 2:	0.0004160404 seconds	0.0000000000 seconds
Iteration 2:	0.0004138947 seconds	0.0000000000 seconds
Iteration 2:	0.0004148483 seconds	0.0000000000 seconds
Iteration 2:	0.0004169941 seconds	0.0000000000 seconds
Iteration 2:	0.0004138947 seconds	0.0000000000 seconds
Iteration 2:	0.0004138947 seconds	0.0000000000 seconds
Iteration 2:	0.0004179478 seconds	0.0000000000 seconds
Iteration 2:	0.0004148483 seconds	0.0000000000 seconds
Iteration 3:	0.0003888607 seconds	0.0000000000 seconds
Iteration 3:	0.0003888607 seconds	0.0000000000 seconds
